name,race,gender
Abrahao Farc,White_Caucasian,male
Ada Chaseliov,White_Caucasian,female
Adelio Lima,Latino_Hispanic,male
Adilson Magha,White_Caucasian,male
Adriana Alves,Black_African_descent,female
Adriana Birolli,White_Caucasian,female
Adriana Esteves,White_Caucasian,female
Adriana Garambone,White_Caucasian,female
Adriana Lessa,Black_African_descent,female
Adriana Tolentino,White_Caucasian,female
Adriane Galisteu,White_Caucasian,female
Adriano Bolshi,Latino_Hispanic,male
Adriano Garib,White_Caucasian,male
Adriano Reys,White_Caucasian,male
Adriano Toloza,White_Caucasian,male
Agles Steib,White_Caucasian,female
Aimee Ubacker,Black_African_descent,female
Aisha Jambo,Black_African_descent,female
Alana Cabral,Latino_Hispanic,female
Alby Ramos,White_Caucasian,male
Alejandro Claveaux,White_Caucasian,male
Alessandra Ambrosio,White_Caucasian,female
Alessandra Maestrini,White_Caucasian,female
Alessandra Negrini,White_Caucasian,female
Alessandro Moussa,Latino_Hispanic,male
Alessandro Tcche,Latino_Hispanic,male
Alex Brasil,East_Indian,male
Alex Patricio,Latino_Hispanic,female
Alexander Sil,Black_African_descent,male
Alexandra Martins,Black_African_descent,male
Alexandra Richter,White_Caucasian,female
Alexandre Barbalho,Latino_Hispanic,female
Alexandre Barillari,White_Caucasian,male
Alexandre Barros,White_Caucasian,male
Alexandre Borges,White_Caucasian,male
Alexandre Cioletti,White_Caucasian,male
Alexandre Damascena,Asian,male
Alexandre David,Latino_Hispanic,male
Alexandre Lemos,White_Caucasian,male
Alexandre Liuzzi,White_Caucasian,male
Alexandre Moreno,White_Caucasian,male
Alexandre Nero,White_Caucasian,male
Alexandre Rodrigues,Black_African_descent,male
Alexandre Schumacher,Latino_Hispanic,male
Alexandre Slavieiro,White_Caucasian,male
Alexandre Slaviero,White_Caucasian,male
Alexandro Malvao,Latino_Hispanic,male
Alfredo Castro,White_Caucasian,male
Alice Assef,Latino_Hispanic,female
Alice Borges,White_Caucasian,female
Alice Coelho,White_Caucasian,female
Alice Morena,Latino_Hispanic,male
Alice Sigmaringa,Black_African_descent,female
Alice Wegmann,White_Caucasian,female
Aline Aguiar,White_Caucasian,female
